id,uid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,label
0,0,0.0,0.0,0.0625,0.875,0.5625,0.0,0.0,0.0,0.0,0.0,0.5,0.8125,0.1875,0.4375,0.0625,0.0,0.0,0.0625,1.0,0.375,0.3125,1.0,0.1875,0.0,0.0,0.4666666666666667,0.8125,0.0,0.875,0.6875,0.2,0.0,0.0,0.8571428571428571,0.8125,0.3125,1.0,1.0,0.6428571428571428,0.0,0.0,0.8125,1.0,1.0,0.9375,0
1,1,0.0,0.125,0.6875,0.875,0.5625,0.0625,0.0,0.0,0.0,0.2,1.0,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1875,1.0,0.1875,0.0,0.0,0.0,0.0,0.0625,0.875,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.875,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,1
2,2,0.0,0.125,0.6875,0.8125,0.125,0.0,0.0,0.0,0.0,0.5333333333333333,0.9375,0.9375,0.375,0.0,0.0,0.0,0.0,0.625,0.5625,0.375,0.875,0.0,0.0,0.0,0.0,0.2,0.625,0.25,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.4375,0.0,0.0,0.0,0.0,0.0,0.125,0.9375,0.1875,0
3,3,0.0,0.0,0.4375,0.875,0.625,0.0,0.0,0.0,0.0,0.4666666666666667,0.9375,0.25,0.5625,0.6875,0.0,0.0,0.0,0.5625,0.8125,0.0,0.4375,1.0,0.0,0.0,0.0,0.2,0.9375,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1
4,4,0.0,0.0,0.0625,0.5,0.9375,0.6875,0.1875,0.0,0.0,0.0,0.6875,0.75,0.5625,0.875,0.6875,0.0,0.0,0.125,0.875,0.0,0.0,0.8125,0.375,0.0,0.0,0.4666666666666667,0.9375,0.5,0.75,0.5625,0.0,0.0,0.0,0.0,0.375,0.8125,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8125,0.5625,0
5,5,0.0,0.0,0.125,0.875,0.9375,0.25,0.0,0.0,0.0,0.0,0.125,1.0,1.0,0.6875,0.0,0.0,0.0,0.0,0.125,1.0,1.0,0.625,0.0,0.0,0.0,0.0,0.3125,1.0,1.0,0.4375,0.0,0.0,0.0,0.0,0.875,1.0,0.875,0.125,0.0,0.0,0.0,0.25,1.0,1.0,0.5,1
6,6,0.0,0.0,0.25,0.75,0.625,0.0625,0.0,0.0,0.0,0.2,1.0,0.8125,0.9375,0.625,0.0,0.0,0.0,0.3125,1.0,0.125,0.0625,0.875,0.1875,0.0,0.0,0.5333333333333333,0.8125,0.0,0.0,0.625,0.5333333333333333,0.0,0.0,0.5714285714285714,0.75,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.5,0.875,0.0,0.0,0
7,7,0.0,0.0,0.75,0.8125,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.8125,0.75,0.6875,0.6875,0.0,0.0,0.0,1.0,0.8125,0.6875,0.125,0.0,0.0,0.0,0.2,1.0,0.875,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1
8,8,0.0,0.0,0.3125,1.0,1.0,0.1875,0.0,0.0,0.0,0.0,0.5625,1.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.75,0.9375,0.125,0.0,0.0,0.0,0.0,0.06666666666666667,0.9375,1.0,0.9375,0.25,0.0,0.0,0.0,0.0,0.5625,0.8125,1.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1
9,9,0.0,0.0,0.5625,0.5625,0.25,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.875,0.75,0.0,0.0,0.0,0.1875,0.625,0.0625,0.0,0.75,0.3125,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.4,0.0,0.0,0.5714285714285714,0.5,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.3125,0.5,0.0,0.0,0
